Giro,Nombre Comercial,Razón Social,Código Scian,Actividad,Tamaño,Calle,Número Exterior,Letra Exterior,Número Interior,Letra Interior,Colonia,Código Postal,Estado,Ciudad,Teléfono,Email,Página web
Hotelería y Restaurantes,ARACELI LAVADORES CANUL,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,62,690,,,,CAMPESTRE FLAMBOYANES,97324,Yucatán,Progreso,9821299238,,
Hotelería y Restaurantes,BAR LA NEGRITA,CHOKRAN S DE RL DE CV,722412,"Bares, cantinas y similares",11 a 30 personas,62,413,,0,,CENTRO,97000,Yucatán,Mérida,9992918601,FACTURACION.MID@GMAIL.COM,
Hotelería y Restaurantes,BAR PIPIRIPAU,,722412,"Bares, cantinas y similares",11 a 30 personas,62,461,,0,,CENTRO,97000,Yucatán,Mérida,,PIPIRIPAU.MERIDA@GMAIL.COM,
Hotelería y Restaurantes,BARBACOA Y CARNITAS BORREGO WERO,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,,SN,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9991975757,,
Hotelería y Restaurantes,BIG PIZZA,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,62,0,SN,,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,BLA BLA SUSHI,COMERCIALIZADORA DELBA SA DE CV,722516,Restaurantes de autoservicio,11 a 30 personas,62,0,SN,,,CIUDAD CAUCEL LA HERRADURA,97314,Yucatán,Mérida,,,
Hotelería y Restaurantes,BODEGA DE COMIDA,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,543,A,543,,CENTRO,97000,Yucatán,Mérida,9993299672,,
Hotelería y Restaurantes,BONAMPAK,QUIEN TE DIJO QUE YO TE DIJE S DE RL DE CV,722412,"Bares, cantinas y similares",6 a 10 personas,62,564,,,,LA HERRADURA II,97314,Yucatán,Mérida,,,
Hotelería y Restaurantes,BOTANAS TINNY,,722412,"Bares, cantinas y similares",6 a 10 personas,62,200,A,0,,SAN FRANCISCO,97979,Yucatán,Tekax,9971333212,,
Hotelería y Restaurantes,CAFE MURANO GOURMET,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,674,,0,,CIUDAD CAUCEL,97314,Yucatán,Mérida,,,
Hotelería y Restaurantes,CAFETERIA DERIANS,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,601,,,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,CAFETERIA SABE A CAFE,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,0,SN,710,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9992395580,,
Hotelería y Restaurantes,CANTARITO LINDO Y QUERIDO,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,62,445,,,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,CANTINA BALAM,GRUPO MANGEVIL MARENTES SA DE CV,722412,"Bares, cantinas y similares",11 a 30 personas,62,458,,,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,CARNE AHUMADA Y ENCHILADA FLAMBOYANES,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,62,147,,0,,FLAMBOYANES,97780,Yucatán,Valladolid,,PRODUCCIONESMENA@HOTMAIL.COM,
Hotelería y Restaurantes,CARNITAS ESTILO MICHOACAN SIN NOMBRE,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,646,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9996424387,,
Hotelería y Restaurantes,CASA DE HUESPEDES CANDITA,,721311,Pensiones y casas de huéspedes,0 a 5 personas,62,427,,0,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,CASA DE TE,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,0,SN,468,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,CASA KAU,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,447,,,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,CASA MAYA,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,62,492,,0,,CENTRO,97000,Yucatán,Mérida,9999247022,RESTAURANTECASAMAYA@GMAIL.COM,
Hotelería y Restaurantes,CASA NAHARA BRUNCH COFFE,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,429,,0,,CENTRO,97000,Yucatán,Mérida,9994777300,,
Hotelería y Restaurantes,CASSAVA ROOTS,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,62,511,,,,CENTRO,97000,Yucatán,Mérida,9994294718,,
Hotelería y Restaurantes,CHE HOSTAL NOMADA,FRANK HOTELES SA DE CV,721190,"Cabañas, villas y similares",11 a 30 personas,62,433,,,,CENTRO,97000,Yucatán,Mérida,,NOMADASHOSTEL1@HOTMAIL.COM,WWW.NOMADASTRAVEL.COM
Hotelería y Restaurantes,CHILL AKIL EARLY KITCHEN,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,62,375,,,,CENTRO,97000,Yucatán,Mérida,9999218061,CHILLAKILCENTRO@OUTLOOK.COM,WWW.CHILLAKIL.COM.MX
Hotelería y Restaurantes,COCHINITA ENTERRADA,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,314,,0,,SAN ANTONIO KAUA III,97195,Yucatán,Kanasín,9992494987,,
Hotelería y Restaurantes,COCHINITA SIN NOMBRE,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,317,,,,SAN JOSE TECOH,97299,Yucatán,Mérida,,,
Hotelería y Restaurantes,COCINA ECONOMICA,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,62,616,,0,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9999967720,,
Hotelería y Restaurantes,COCINA ECONOMICA DOÑA CHIVI,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,62,0,SN,,,CENTRO,97000,Yucatán,Mérida,9999555433,,
Hotelería y Restaurantes,COCINA ECONOMICA LA MICHOACANA,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,62,0,SN,,,CENTRO,97000,Yucatán,Mérida,9992739500,,
Hotelería y Restaurantes,COCINA ECONOMICA LA SAZON DE LA ABUELA,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,6 a 10 personas,62,649,,0,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9991841023,,
Hotelería y Restaurantes,COCINA ECONOMICA LONG FA COMIDA CHINA,,722516,Restaurantes de autoservicio,0 a 5 personas,62,616,,0,,PEDREGALES DE CIUDAD CAUCEL,97300,Yucatán,Mérida,9992158619,CEYO86@GMAIL.COM,
Hotelería y Restaurantes,COCINA EL CAMPEON,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,543,B,543,,CENTRO,97000,Yucatán,Mérida,9991383762,SONNYQUIJANO91@HOTMAIL.COM,
Hotelería y Restaurantes,COCINA SAORI,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,62,801,,,,JARDINES DE MERIDA,97135,Yucatán,Mérida,9994186719,,
Hotelería y Restaurantes,COMESON RESTAURANT,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,62,529,,2,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,COMIDA CORRIDA HUEVOS MOTULEÑOS LA ABUELITA,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,648,,0,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9997405773,,
Hotelería y Restaurantes,CONDESA BARRA DE CAFE,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,489,,0,,CENTRO,97000,Yucatán,Mérida,5638633630,CONDESACAFE@GMAIL.COM,
Hotelería y Restaurantes,DON QUESOS PIZZERIA,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",6 a 10 personas,62,604,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,,,
Hotelería y Restaurantes,DON SPAGHETTO RESTAURANTE,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",6 a 10 personas,62,509,,0,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,DOWNTOWN MERIDA,,721312,Departamentos y casas amueblados con servicios de hotelería,0 a 5 personas,62,295,A,,,YUCATAN,97050,Yucatán,Mérida,,,DOWTOWMERIDA.COM.MX
Hotelería y Restaurantes,EL AMIGO CASIANO,,722514,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,62,190,,0,,BACALAR,97784,Yucatán,Valladolid,,,
Hotelería y Restaurantes,EL APAPACHO COMIDA NADA GOURMET Y ARTE,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,62,354,,0,,CENTRO,97000,Yucatán,Mérida,,ELAPAPACHOMERIDA@GMAIL.COM,
Hotelería y Restaurantes,EL TRAPICHE,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,62,0,SN,491,,CENTRO,97000,Yucatán,Mérida,,TRAPICHE@LIVE.COM.MX,
Hotelería y Restaurantes,ESKONDIDA PIZZERIA,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,62,384,,5,,CENTRO,97000,Yucatán,Mérida,9999923333,,WWW.ESCONDIDAPIZZA.COM
Hotelería y Restaurantes,EVENTOS SOCIALES BANQUETES Y SERVICIOS RIGEL GONZALEZ,EVENTOS SOCIALES BANQUETES Y SERVICIOS SA DE CV,722320,Servicios de preparación de alimentos para ocasiones especiales,6 a 10 personas,62,708,C,,,DELIO MORENO CANTON,97268,Yucatán,Mérida,,,
Hotelería y Restaurantes,FOOD BURGUER AND WINGS,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,62,750,3,,,CIUDAD CAUCEL SECCION LA HERRADURA,97314,Yucatán,Mérida,9992411044,,
Hotelería y Restaurantes,FRAPERIA LA GLORIA,,722519,Servicios de preparación de otros alimentos para consumo inmediato,0 a 5 personas,62,0,SN,,,SAN FRANCISCO,97970,Yucatán,Tekax,9971234544,,
Hotelería y Restaurantes,FRONTIER CABARET,CABSA SA DE CV,722411,"Centros nocturnos, discotecas y similares",11 a 30 personas,62,0,SN,,,PERIFERICO,97370,Yucatán,Kanasín,,,
Hotelería y Restaurantes,HAMBURGUESAS LA 62,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,62,188,,,,BACALAR,97784,Yucatán,Valladolid,,,
Hotelería y Restaurantes,HEALTHHA,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,335,,0,,CENTRO,97000,Yucatán,Mérida,9994777755,,
Hotelería y Restaurantes,HELADISIMO COFFE & ICE CREAM,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,750,,1,,CIUDAD CAUCEL SECCION LA HERRADURA,97314,Yucatán,Mérida,9999222347,NEVERIAHELADISIMO03@GMAIL.COM,
Hotelería y Restaurantes,HOSPEDAJE SAINT JHON,,721311,Pensiones y casas de huéspedes,0 a 5 personas,62,545,,545,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,HOTEL BOUTIQUE ANEXO 1,OPERADORA PM AM SA DE CV,721111,Hoteles con otros servicios integrados,0 a 5 personas,62,298,D,,,CENTRO,97000,Yucatán,Mérida,,OPERADORAPM@HOTMAIL.COM,WWW.HOTELBOUTIQUEREALSANJUANCENTER.COM
Hotelería y Restaurantes,HOTEL BOUTIQUE REAL SAN JUAN CENTER,OPERADORA PM AM SA DE CV,721111,Hoteles con otros servicios integrados,0 a 5 personas,62,309,E,,,CENTRO,97000,Yucatán,Mérida,,OPERADORAPM@HOTMAIL.COM,WWW.HOTELBOUTIQUEREALSANJUANCENTER.COM
Hotelería y Restaurantes,HOTEL COLON,HOSPEDAJE GAVEMED SA DE CV,721111,Hoteles con otros servicios integrados,0 a 5 personas,62,483,,,,CENTRO,97000,Yucatán,Mérida,,RESERVAS.COLON@HOTMAIL.COM,WWW.HOTELCOLONMERIDA.COM
Hotelería y Restaurantes,HOTEL COLONIAL,OPERADORA HOTEL COLONIAL DE MERIDA SA,721111,Hoteles con otros servicios integrados,0 a 5 personas,62,476,,,,CENTRO,97000,Yucatán,Mérida,,RRHH@HOTELCOLONIAL.COM.MX,WWW.HOTELCOLONIALMERIDA.COM.MX
Hotelería y Restaurantes,HOTEL HACIENDA MERIDA,HOTEL HACIENDA MERIDA S DE RL DE CV,721111,Hoteles con otros servicios integrados,0 a 5 personas,62,439,,,,CENTRO,97000,Yucatán,Mérida,,INFO@HOTELHACIENDAMERIDA.COM,WWW.HOTELHACIENDAMERIDA.COM
Hotelería y Restaurantes,HOTEL HO,SIGLO MID SA DE CV,721112,Hoteles sin otros servicios integrados,11 a 30 personas,62,515,,0,,CENTRO,97000,Yucatán,Mérida,,GERENCIAHOHOTEL@GMAIL.COM,
Hotelería y Restaurantes,HOTEL LA PAZ,,721112,Hoteles sin otros servicios integrados,0 a 5 personas,62,522,,0,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,HOTEL PALACIO MAYA,CORPORATIVO PALACIO MAYA SA DE CV,721111,Hoteles con otros servicios integrados,0 a 5 personas,62,327,,,,CENTRO,97000,Yucatán,Mérida,,CONTACTO@HOTELPALACIOMAYA.COM.MX,WWW.HOTELPALACIOMAYA.COM.MX
Hotelería y Restaurantes,HOTEL SANTIAGO,MANUDOM SA DE CV,721112,Hoteles sin otros servicios integrados,6 a 10 personas,62,464,,,,CENTRO,97000,Yucatán,Mérida,,RECEPCIONHOTELSANTIAGO@GMAIL.COM,WWW.HOTELSANTIAGOMERIDA.COM
Hotelería y Restaurantes,HOTEL URBAN,HOTEL POSADO EL DORADO INN SA DE CV,721112,Hoteles sin otros servicios integrados,0 a 5 personas,62,470,,,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,JAGUAR 62,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,62,108,,,,TURISTICO MALECON,97320,Yucatán,Progreso,,,
Hotelería y Restaurantes,JUANITO ABDUL TACOS ARABES,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,6 a 10 personas,62,611,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9993681137,,
Hotelería y Restaurantes,LA ABADIACAFE,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,507,C,0,,CENTRO,97000,Yucatán,Mérida,9992550501,,
Hotelería y Restaurantes,LA AUTENTICA JARANA YUCATECA,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,62,503,,0,,CENTRO,97000,Yucatán,Mérida,,GERENCIA@LAAUTENTICAJARANA.COM.MX,
Hotelería y Restaurantes,LA BIERHAUS,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,62,487,,,,CENTRO,97000,Yucatán,Mérida,,ADMON_LABIERHAUS@OUTLOOK.COM,WWW.LABIERHAUS
Hotelería y Restaurantes,LA BODEGUITA DEL CENTRO,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,443,,,,CENTRO,97000,Yucatán,Mérida,9994393089,LABODEGUITADELCENTRO@GMAIL.COM,
Hotelería y Restaurantes,LA DOÑA MID,GRUPO RECOLO S DE RL DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,62,349,,,,CENTRO,97000,Yucatán,Mérida,9993241762,LADONAMIDGERENCIA@GMAIL.COM,
Hotelería y Restaurantes,LA KOMBUCHERIA,SINERGIA NATIVIDAD SC DE RL DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,562,,,,CENTRO,97000,Yucatán,Mérida,,SINERGIANATIVIDAD@GMAIL.COM,WWW.KUKAYNARANJO.COM
Hotelería y Restaurantes,LA PITAYITA DE MI CHICHI,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,531,,,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,LA XTABAY COCINA INTERNACIONAL,OPERADORA PMAM,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,62,309,E,,,CENTRO,97000,Yucatán,Mérida,9992877301,,
Hotelería y Restaurantes,LAS ADORADITAS SUCURSAL CAUCEL,SERVICIOS ALIMENTICIOS EXPRESS LUNCH SA DE CV,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,62,688,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9993169035,,WWW.LASADORADITAS.COM
Hotelería y Restaurantes,LAS CAZUELITAS,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,62,621,,0,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9997928578,,
Hotelería y Restaurantes,LAS DELICIAS DE MAMA,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,62,429,,1,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,LONCHERIA,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,0,SN,,,SOLIDARIDAD,97970,Yucatán,Tekax,9971104348,,
Hotelería y Restaurantes,LONCHERIA KIMBERLI,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,0,SN,,,RASTRO,97880,Yucatán,Oxkutzcab,9971129550,,
Hotelería y Restaurantes,LONCHERIA LIMBA,,722513,Restaurantes con servicio de preparación de antojitos,6 a 10 personas,62,0,SN,0,,RASTRO,97880,Yucatán,Oxkutzcab,,,
Hotelería y Restaurantes,LONCHERIA Y COCINA DANI,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,448,,,,SAN FRANCISCO,97700,Yucatán,Tizimín,9861129123,,
Hotelería y Restaurantes,LOS BISQUETS BISQUETS OBREGON CENTRO,BB DEL SUR SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,499,,,,CENTRO,97000,Yucatán,Mérida,,JCONTABLE@GRUPONICXA.COM.MX,
Hotelería y Restaurantes,MARLIN AZUL,,722512,Restaurantes con servicio de preparación de pescados y mariscos,6 a 10 personas,62,488,,0,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,MAYAN PUB,,722412,"Bares, cantinas y similares",0 a 5 personas,62,0,SN,,,CENTRO,97000,Yucatán,Mérida,9994496836,,
Hotelería y Restaurantes,MOTEL 52,,721113,Moteles,6 a 10 personas,62,318,,0,,SAN ANTONIO KAUA III,97195,Yucatán,Kanasín,,MOTELESMID@GMAIL.COM,
Hotelería y Restaurantes,MOTEL EL JARDIN,,721113,Moteles,0 a 5 personas,62,,SN,,,SANTA RITA,97700,Yucatán,Tizimín,9868614532,,
Hotelería y Restaurantes,MUSEO DE LA GASTRONOMIA YUCATECA,LOWELLCARE SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,62,466,,0,,CENTRO,97000,Yucatán,Mérida,,CONTACTO@MUGY.COM.MX,
Hotelería y Restaurantes,NITIDO,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,384,,4,,CENTRO,97000,Yucatán,Mérida,9999551496,,
Hotelería y Restaurantes,ORGANICO BAR DE CAFE Y COCINA,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,582,SN,,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,PARKING HOTEL COLONIAL,OPERADORA HOTEL COLONIAL DE MERIDA SA,721111,Hoteles con otros servicios integrados,0 a 5 personas,62,444,,,,CENTRO,97000,Yucatán,Mérida,,,WWW.HOTELCOLONIAL.COM.MX
Hotelería y Restaurantes,PIZZERIA FAUSTOS,RESTAURANTE ITALIANO FAUSTO SA DE CV,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",6 a 10 personas,62,344,A,0,,CENTRO,97000,Yucatán,Mérida,9999239602,PIZZERIAFAUSTOS@GMAIL.COM,
Hotelería y Restaurantes,POLLO BRUJO CAUCEL,OPERADORA POLLO BRUJO S DE RL,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,62,643,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,,CPJORGEPOOL@POLLOBRUJOYUCATAN.COM,WWW.POLLOBRUJOYUCATAN.COM
Hotelería y Restaurantes,POLLO FRITO CHARLYS,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,62,0,SN,,,RASTRO,97880,Yucatán,Oxkutzcab,9999066256,,
Hotelería y Restaurantes,POLLOS ASADOS LA PASADITA,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,62,0,SN,,,SANTA ISABEL,97370,Yucatán,Kanasín,,,
Hotelería y Restaurantes,PREPARACION DE HELADOS Y RASPADOS SIN NOMBRE,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,0,SN,,,SAN FRANCISCO,97970,Yucatán,Tekax,9971212689,,
Hotelería y Restaurantes,RESTAURANT CACIQUE,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,714,,0,,CIUDAD CAUCEL,97314,Yucatán,Mérida,,CACIQUECAUCEL@GMAIL.COM,
Hotelería y Restaurantes,RESTAURANT REX CAFE,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,62,0,SN,,,SAN ESTEBAN,97880,Yucatán,Oxkutzcab,9971558685,,
Hotelería y Restaurantes,RESTAURANTE BAR DE MARISCO MUELLE 62,,722512,Restaurantes con servicio de preparación de pescados y mariscos,0 a 5 personas,62,0,SN,0,,CIUDAD CAUCEL,97314,Yucatán,Mérida,,,
Hotelería y Restaurantes,RESTAURANTE BAR FAMILIAR TOMA II,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,533,,0,,CENTRO,97000,Yucatán,Mérida,,,
Hotelería y Restaurantes,RESTAURANTE BAR ROCKYS,,722412,"Bares, cantinas y similares",0 a 5 personas,62,0,SN,,,CENTRO,97700,Yucatán,Tizimín,,,
Hotelería y Restaurantes,RESTAURANTE CHILAQUILITO,GRUPO GASTRONOMICO YALI SA DE CV,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,62,656,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,7711856248,,
Hotelería y Restaurantes,RESTAURANTE DE COMIDA MEXICANA EL ALEBRIJE,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,724,,,,CIUDAD CAUCEL LA HERRADURA,97314,Yucatán,Mérida,9991637213,,
Hotelería y Restaurantes,RESTAURANTE DE MARISCOS MAREMAR,OPERADORA DE HOTELES Y RESTAURANTES PAD SA DE CV,722512,Restaurantes con servicio de preparación de pescados y mariscos,11 a 30 personas,62,0,SN,,,PEDREGALES DE CIUDAD CAUCEL,97300,Yucatán,Mérida,9992589178,,
Hotelería y Restaurantes,RESTAURANTE DE TACOS RIGO,,722514,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,62,600,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9999181831,,
Hotelería y Restaurantes,RESTAURANTE EL TROMPO ARABE,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,62,700,,0,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9991061021,,
Hotelería y Restaurantes,RESTAURANTE GALERIA 2012 ESPACIOS MAYAS,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,62,,SN,,,CENTRO,97000,Yucatán,Mérida,,ESPACIOSMAYAS2012@HOTMAIL.COM,WWW.ESPACIOSMAYAS2012.COM.MX
Hotelería y Restaurantes,RESTAURANTE LA BERNARDA,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,682,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9995599915,,
Hotelería y Restaurantes,RESTAURANTE LA CHAYA MAYA,COMERCIALIZADORA LA CHAYA MAYA S DE RL DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,481,,,,CENTRO,97000,Yucatán,Mérida,,CONTABILIDAD@LACHAYAMAYA.COM,WWW.LACHAYAMAYA.COM
Hotelería y Restaurantes,RESTAURANTE LA PERLA TAPATIA,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,862,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9996418635,,
Hotelería y Restaurantes,RESTAURANTE MARISQUERIA GONZALES,,722512,Restaurantes con servicio de preparación de pescados y mariscos,0 a 5 personas,62,183,,0,,BACALAR,97784,Yucatán,Valladolid,,,
Hotelería y Restaurantes,RESTAURANTE MI VIEJO MOLINO CAUCEL,JOSE MARIN ARCEO SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,62,0,SN,9,,CIUDAD CAUCEL,97314,Yucatán,Mérida,9999530055,CONTABILIDAD@MIVIEJOMOLINO.COM,WWW.MIVIEJOMOLINO.COM
Hotelería y Restaurantes,RESTAURANTE RAVELOS,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,62,610,,2,,PEDREGALES DE CAUCEL,97300,Yucatán,Mérida,9994346132,,
Hotelería y Restaurantes,RESTAURANTE Y COCKTELERIA LA LANGOSTA ENAMORADA,COMERCIAL YU QUIN SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,62,643,,0,,CENTRO,97000,Yucatán,Mérida,9993354727,,
Hotelería y Restaurantes,ROSTICERIA EL PECHUGON,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,62,608,,,,CIUDAD CAUCEL,97314,Yucatán,Mérida,,,
Hotelería y Restaurantes,SANS SOUCCI 2,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,6 a 10 personas,62,664,D,0,,CENTRO,97000,Yucatán,Mérida,9991152604,,
Hotelería y Restaurantes,SEMPERE CAFE LITERARIO,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,62,479,,,,CENTRO,97000,Yucatán,Mérida,9991421999,SEMPERECAFE@GMAIL.COM,
Hotelería y Restaurantes,SWEETS & COFFEE,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,62,309,D,,,CENTRO,97000,Yucatán,Mérida,9995086434,,
